pathway	thr	estimate_trade_off_positive	lower_trade_off_positive	upper_trade_off_positive
Gynaecology	0.037	64.4685435703442	47.67973144714766	107.8431779348108
Gynaecology	0.038	62.65069348280592	46.45568223712536	100.16622913116136
Gynaecology	0.039	61.47534577489063	45.40215471463839	96.0322597960816
Gynaecology	0.04	60.34736479207396	44.422445133723656	92.19705713370863
Gynaecology	0.041	59.47200338476487	43.64716504025367	90.63187055054541
Gynaecology	0.042	58.973328358131624	42.91651394722138	89.36614353337053
Gynaecology	0.043000000000000003	58.61663046468708	42.36620472877773	88.94502092446628
Gynaecology	0.044	58.33558484190212	41.824777445134345	88.963731385136
Gynaecology	0.045	58.24146002162708	41.42363770745181	89.01677370950208
Gynaecology	0.046	58.115800082004014	41.11543831382875	89.12073218582157
Gynaecology	0.047	58.06241172476744	40.85384023741701	88.77697252038578
Gynaecology	0.048	58.08486864885815	40.61035030737358	89.13072521540845
Gynaecology	0.049	58.203182055547785	40.49754116016278	89.08562163530682
Gynaecology	0.05	58.15009273988619	40.305515864594376	89.72180501395795
Gynaecology	0.051000000000000004	58.195382663441535	40.23454125253022	89.30405855585254
Gynaecology	0.052000000000000005	58.25502264398513	40.245661952659496	90.20437276273074
Gynaecology	0.053	58.334973214386466	40.28206268670209	89.75664992571396
Gynaecology	0.054	58.49226374526144	40.35774721394693	90.18099881108375
Gynaecology	0.055	58.53888726593704	40.26845614894557	90.12173984047865
Gynaecology	0.056	58.564702445849946	40.3257702930082	90.49632831812055
Gynaecology	0.057	58.61049285382496	40.34582812643323	90.69014167118449
Gynaecology	0.058	58.67770147649351	40.52095622177433	90.88880536511078
Gynaecology	0.059000000000000004	58.73024745779256	40.39143793219125	90.93423946922888
Gynaecology	0.06	58.85687613068172	40.540685630801136	90.82224129908195
Gynaecology	0.061	58.89797521961489	40.37451280926451	91.08664512609407
Gynaecology	0.062	58.89056180232366	40.50088985184348	91.34586644162158
Gynaecology	0.063	59.02272470398941	40.50730088650859	92.04894778677831
Gynaecology	0.064	59.09168800942729	40.47850746051173	91.5890024345127
Gynaecology	0.065	59.20575910983199	40.57477216377157	92.05418128320888
Gynaecology	0.066	59.163887878244395	40.590757207254306	92.14570741641371
Gynaecology	0.067	59.29513889879978	40.624827033424005	92.58588052980599
Gynaecology	0.068	59.32665742369417	40.708589733522714	92.65299676565348
Gynaecology	0.069	59.46267392916678	40.621420485470246	92.58152586572574
Gynaecology	0.07	59.5237829610702	40.663836736488584	92.74342521147756
Gynaecology	0.07100000000000001	59.64701126410665	40.78595535913788	93.01464886746004
Gynaecology	0.07200000000000001	59.658691724669836	40.76338081553014	92.99556405915267
Gynaecology	0.073	59.61547245541166	40.644879287556435	93.58333589257374
Gynaecology	0.074	59.78648303972069	40.89303491966416	93.20642019459872
Gynaecology	0.075	59.87203938222492	40.80689644714565	93.78745487490383
Lower GI	1e-9	-48.56613089060356	-65.64007501409824	-36.904319302182714
Lower GI	0.001	-50.84666409184453	-70.05495124913915	-38.320039450618204
Lower GI	0.002	-53.35250675296809	-74.9317175441426	-39.568981047172564
Lower GI	0.003	-56.15251936588484	-80.54035509098517	-41.088711926482816
Lower GI	0.004	-59.28817879218923	-87.43485047053116	-42.79265149122837
Lower GI	0.005	-62.763122216383934	-95.21489250143497	-44.571509287550775
Lower GI	0.006	-66.70425344622898	-104.71608558319026	-46.48033612250534
Lower GI	0.007	-71.0497951958348	-114.1473141628575	-48.622469870342755
Lower GI	0.008	-76.33940618111312	-129.9393431294686	-50.765992373494406
Lower GI	0.009000000000000001	-82.10412715027267	-148.58321095953787	-53.528555664299446
Lower GI	0.01	-88.9300418062291	-171.7212891210239	-56.44089899347289
Lower GI	0.011	-97.40836923526794	-208.1425162872961	-59.29254622331918
Lower GI	0.012	-106.98816187850362	-255.65957775457844	-62.72071372071467
Lower GI	0.013000000000000001	-119.04022177965408	-334.16733499524753	-66.69271686522258
Lower GI	0.014	-134.35294074410706	-466.3329215617076	-70.11168088450405
Lower GI	0.015	-152.16505427664043	-735.9732645455463	-73.11584225697302
Lower GI	0.016	-174.57276305483424	-1208.4931510422891	-60.92157315003001
Lower GI	0.017	-199.3585548463259	-1854.5117049477176	1304.883388114383
Lower GI	0.018000000000000002	-224.49307653288807	-2942.1141226323816	2586.012071215608
Lower GI	0.019	-241.48375803211906	-3896.7582785995683	3700.444533527302
Lower GI	0.02	-237.9980893052932	-4532.014354995825	4644.191622860955
Lower GI	0.021	-195.87389296240076	-5285.031969790981	5356.850635906891
Lower GI	0.022	180.6872069498764	-5212.595336514952	5063.188054938204
Lower GI	0.023	235.09627443301878	-4333.900354910236	4804.190253037743
Lower GI	0.024	240.19217680224529	-3678.8977387674736	3952.69282959448
Lower GI	0.025	223.83039862526368	-2826.791650562738	3152.6056464590692
Lower GI	0.026000000000000002	201.89196948272587	-1819.8495349287716	2199.550592831691
Lower GI	0.027	179.02918926062324	-1124.1433222951143	1611.1481951372125
Lower GI	0.028	157.3267208258505	-551.4401763831927	1102.2867042570665
Lower GI	0.029	138.44971349157083	70.80358922540908	724.0190779814378
Lower GI	0.03	123.09152870006875	70.7018539526846	543.2232755409499
Lower GI	0.031	110.45416200318726	67.34604724343154	380.9382793649936
Lower GI	0.032	99.73478442954206	63.8402080016416	287.632587099286
Lower GI	0.033	90.82357071562271	60.15744537116564	232.01986055137803
Lower GI	0.034	83.39002189258558	56.96052084678151	188.80177969591736
Lower GI	0.035	76.81415397752012	53.77166537532589	158.9122351168485
Lower GI	0.036000000000000004	71.42285743292723	51.031411461645725	137.6219526861734
Lower GI	0.037	66.73848262349176	48.719017728357535	120.57097423375157
Lower GI	0.038	62.597696453466625	46.317752405720476	108.40263076105651
Lower GI	0.039	58.88058743267872	44.297258365741214	97.68438078268868
Lower GI	0.04	55.61395269411682	42.428285332057	89.10064907051549
Lower GI	0.041	52.7051451724148	40.67621609715058	82.01444220456298
Lower GI	0.042	50.063766137869465	39.029204553158245	75.71016226641656
Lower GI	0.043000000000000003	47.56263522414128	37.587592050518445	70.00821168844557
Lower GI	0.044	45.41531227383616	36.17859711472684	65.62546346455669
Lower GI	0.045	43.43411282013652	34.87306796148741	61.59037935743755
Lower GI	0.046	41.61150589426184	33.65876384902524	58.18830912191064
Lower GI	0.047	39.85652963374025	32.53503562083111	54.667476927740836
Lower GI	0.048	38.344954800803535	31.458652961764855	51.81679053970213
Lower GI	0.049	36.90007045559604	30.498639901687895	49.283990648493386
Lower GI	0.05	35.51779224352367	29.599749394096655	46.86539791764123
Lower GI	0.051000000000000004	34.29739285434688	28.75668589675336	44.84109410705274
Lower GI	0.052000000000000005	33.13153697396126	27.941319805793	42.883862633567276
Lower GI	0.053	32.03790833510329	27.118852880574718	40.94111326875223
Lower GI	0.054	31.022466945957614	26.406529819753214	39.41368140661443
Lower GI	0.055	30.03544696137954	25.737400449444387	37.71084652126321
Lower GI	0.056	29.161546910829927	25.17179746337153	36.47472670953472
Lower GI	0.057	28.33523002970383	24.576642908158615	35.18884618808456
Lower GI	0.058	27.578009717115513	24.0575208165222	33.85636771266585
Lower GI	0.059000000000000004	26.870055669663927	23.527991072727293	32.7645576836121
Lower GI	0.06	26.24585131557015	23.058967979980103	31.794092483121428
Lower GI	0.061	25.679824047590557	22.666254020666724	30.764890251290517
Lower GI	0.062	25.18398083508557	22.23594177213122	29.972895715684352
Lower GI	0.063	24.71893018933563	21.864232295235126	29.308891841993166
Lower GI	0.064	24.33888866298851	21.53734399058664	28.85319741250727
Lower GI	0.065	23.98221787902561	21.18953836289098	28.497741413330868
Lower GI	0.066	23.701932904419756	20.908105571157876	28.290266763675685
Lower GI	0.067	23.46623345605176	20.61535772330734	28.12068081579713
Lower GI	0.068	23.259813308009612	20.351263839069176	28.08035732774941
Lower GI	0.069	23.137128153671007	20.110586354100608	28.083759637393896
Lower GI	0.07	23.004323680751433	19.905069953567764	28.068217922547955
Lower GI	0.07100000000000001	22.940868277088413	19.731944602720734	28.034926853010237
Lower GI	0.07200000000000001	22.898283962523124	19.540946293596917	28.056582984984384
Lower GI	0.073	22.884356637831065	19.419510548525267	28.05277209724062
Lower GI	0.074	22.86565267055483	19.287016003446297	28.127864243975857
Lower GI	0.075	22.855358381194694	19.180685015577946	28.061148712405625
Lung	1e-9	-11.380375421243972	-16.751510317869037	-8.134809348138951
Lung	0.001	-11.465641715310607	-16.96350752216198	-8.173247833754337
Lung	0.002	-11.577400946783968	-17.251098066322704	-8.201499097338615
Lung	0.003	-11.650502023969963	-17.45373477482708	-8.263261132399151
Lung	0.004	-11.750178019955586	-17.626033963845572	-8.295283197350505
Lung	0.005	-11.846314541541808	-17.973126657919025	-8.364033038542228
Lung	0.006	-11.949115269895733	-18.02003336922856	-8.405967906428746
Lung	0.007	-12.042316897050847	-18.24013178875528	-8.433879811622756
Lung	0.008	-12.132963927126333	-18.616079283989794	-8.527858914609967
Lung	0.009000000000000001	-12.258808256159972	-18.779750515931138	-8.548834286034237
Lung	0.01	-12.370437770696434	-19.011853671848435	-8.585192910871553
Lung	0.011	-12.441932715690042	-19.364977502071937	-8.618817561340581
Lung	0.012	-12.5522866205809	-19.682010974307573	-8.659709555835242
Lung	0.013000000000000001	-12.692500700764313	-19.90089403532447	-8.736806390900956
Lung	0.014	-12.79838595961051	-20.21277563894848	-8.768992115148999
Lung	0.015	-12.907596823002493	-20.505562294061463	-8.845681662557679
Lung	0.016	-13.01992588274464	-20.826629518502294	-8.898374374164145
Lung	0.017	-13.149398988980758	-21.100081632255268	-8.907553362002883
Lung	0.018000000000000002	-13.256965497626567	-21.346647386219562	-8.998961478930369
Lung	0.019	-13.373107703059924	-21.793687224481932	-9.038457790778772
Lung	0.02	-13.503406734791698	-22.111364224338253	-9.108669739089155
Lung	0.021	-13.616182420116136	-22.354904880003318	-9.153274919035555
Lung	0.022	-13.77233124853398	-22.893425616120314	-9.184823292472982
Lung	0.023	-13.874029772559126	-23.35595610367173	-9.285112371188731
Lung	0.024	-14.022308774245797	-23.551053396568538	-9.310207981887645
Lung	0.025	-14.16278774431845	-24.095838347548685	-9.355183448700092
Lung	0.026000000000000002	-14.319432808071667	-24.5130670216869	-9.418437986586213
Lung	0.027	-14.456906621716797	-25.050105039597945	-9.553681341518773
Lung	0.028	-14.579993058533828	-25.504010818383993	-9.561566729808137
Lung	0.029	-14.783761048247143	-25.685826070791574	-9.66058439653632
Lung	0.03	-14.942744150766686	-26.267327843217107	-9.706890407262158
Lung	0.031	-15.08017696392886	-26.98260957416151	-9.739083338483255
Lung	0.032	-15.248193569104831	-27.380212959274147	-9.810311729412458
Lung	0.033	-15.44004819068602	-27.78572929333651	-9.859726317465627
Lung	0.034	-15.626914875478285	-28.65618642579208	-9.950259989455969
Lung	0.035	-15.739370628881934	-29.198554065663693	-10.041381131695898
Lung	0.036000000000000004	-15.9682349132828	-29.507934937048766	-10.10494984907407
Lung	0.037	-16.130481264669804	-30.344800690775646	-10.151156518596029
Lung	0.038	-16.319632623566342	-31.11646483607763	-10.282493166036927
Lung	0.039	-16.531121516302953	-32.268316792001436	-10.353361846576956
Lung	0.04	-16.708335733969783	-32.8313051564443	-10.376197371534422
Lung	0.041	-16.914674301454333	-33.63036077446221	-10.417030427101253
Lung	0.042	-17.147227598105985	-34.60450611340768	-10.578167126396975
Lung	0.043000000000000003	-17.368771009797698	-35.474757497692394	-10.59867116027421
Lung	0.044	-17.570368523104086	-36.52697733106384	-10.698957350829101
Lung	0.045	-17.836410903907957	-37.18427021875629	-10.806428371347335
Lung	0.046	-18.017058681570298	-38.63382753258867	-10.864364226701655
Lung	0.047	-18.30943837751168	-39.89991668517419	-10.979495054712912
Lung	0.048	-18.54703424584521	-41.0218006992009	-11.04001050691702
Lung	0.049	-18.806992384298816	-42.0453921254673	-11.122081869586378
Lung	0.05	-19.034521898064966	-43.69808389386116	-11.176673020489188
Lung	0.051000000000000004	-19.379740668173305	-45.05293968161464	-11.283064252977585
Lung	0.052000000000000005	-19.654674917464597	-46.97005191723346	-11.446321130494306
Lung	0.053	-19.950172922237115	-48.66851052518405	-11.484704946774206
Lung	0.054	-20.18089763343822	-50.698055337403616	-11.674594133169585
Lung	0.055	-20.528123497610977	-51.95423960172514	-11.654786766174606
Lung	0.056	-20.864513586702248	-56.28134609731465	-11.759267493926277
Lung	0.057	-21.170999574801584	-58.41594430668367	-11.883271280953641
Lung	0.058	-21.52250252953413	-58.67180665625365	-11.992401236624247
Lung	0.059000000000000004	-21.911960801250906	-61.882454087985394	-12.047325598282583
Lung	0.06	-22.22023688654832	-65.12454061176567	-12.181904903933503
Lung	0.061	-22.649966638761256	-68.7416936649872	-12.322707187984106
Lung	0.062	-22.98324910466112	-72.80516083645503	-12.397792825121616
Lung	0.063	-23.381770740541896	-78.30438288217854	-12.432360624204872
Lung	0.064	-23.857111205678052	-82.86273452978126	-12.565123213280893
Lung	0.065	-24.297672663471992	-85.47779386592721	-12.675271997397331
Lung	0.066	-24.793270324579396	-93.11858383625419	-12.750174165131302
Lung	0.067	-25.155344005872173	-97.90306840464255	-12.735442119705565
Lung	0.068	-25.645630676775248	-104.49078447975049	-12.90516711545913
Lung	0.069	-26.101519474444594	-111.94222999071617	-12.917370069708943
Lung	0.07	-26.675451603968614	-120.34289729014542	-12.984042350606874
Lung	0.07100000000000001	-27.21730806906156	-125.3109917163306	-13.040714955460118
Lung	0.07200000000000001	-27.69462920236878	-139.0898763190266	-12.996392498067802
Lung	0.073	-28.185333515673815	-147.21050352280758	-12.950428356039042
Lung	0.074	-28.866982728410683	-161.38829597699882	-12.788359756620636
Lung	0.075	-29.35809869747777	-174.07346291845818	-12.815250755537372
RDC	1e-9	-30.452848467523964	-50.98063285971582	-19.59299096318586
RDC	0.001	-31.288416860180227	-53.51659560063073	-19.99125390455565
RDC	0.002	-32.24262967019098	-56.712760352096545	-20.40361978981807
RDC	0.003	-33.26580790329362	-60.05580094620848	-20.74777137291645
RDC	0.004	-34.22793369425294	-62.56541229497356	-21.05501787392132
RDC	0.005	-35.38125514412203	-66.64539166901652	-21.547624065225044
RDC	0.006	-36.58599936840288	-71.71665664939002	-21.979088704473895
RDC	0.007	-37.794743510654015	-76.41478847697726	-22.351734993713034
RDC	0.008	-39.102478882633264	-82.40558954400144	-22.822623556412037
RDC	0.009000000000000001	-40.684660105313085	-89.59628387576949	-23.377832659923687
RDC	0.01	-42.135682973051644	-96.41647517385674	-23.754391320849898
RDC	0.011	-44.01910181410062	-106.37796307264918	-24.438709671301783
RDC	0.012	-45.7305333585034	-118.7106430523746	-24.899943990240264
RDC	0.013000000000000001	-47.60823620114674	-133.24816521902468	-25.335757712837193
RDC	0.014	-49.99256356127654	-151.1764123817807	-25.98098783561113
RDC	0.015	-52.56675493704888	-176.99119107452114	-26.59594024055436
RDC	0.016	-55.2729040617919	-206.07839875998786	-27.285842375805924
RDC	0.017	-57.91307820536345	-248.03214495879226	-27.43266192999666
RDC	0.018000000000000002	-61.28383036383603	-296.9410662006746	-27.65619172323968
RDC	0.019	-64.28088366186401	-352.9628412880117	-27.7321116635253
RDC	0.02	-68.21911481817517	-456.0022159817986	-26.367300208739238
RDC	0.021	-71.79708696297048	-564.062880690065	189.0151672977584
RDC	0.022	-75.63249577358727	-697.9876539102697	419.6600045039551
RDC	0.023	-79.41100585349773	-827.6367580190918	624.5758337552701
RDC	0.024	-83.0847351773516	-990.7445667484832	728.7076642029468
RDC	0.025	-85.84839504326868	-1062.5367540000038	967.3565895460339
RDC	0.026000000000000002	-89.24541874115994	-1268.0782052672866	1144.6049985125844
RDC	0.027	-91.03964895083786	-1365.159492365387	1335.0247492256487
RDC	0.028	-91.70884739973788	-1581.0077299738273	1528.2479777343653
RDC	0.029	-91.5064867948499	-1663.4633176997033	1626.7070479623656
RDC	0.03	-89.89358676979538	-1813.748871240876	1750.3020932777767
RDC	0.031	-85.31000458016382	-1926.695723501747	1796.387542022324
RDC	0.032	-80.39111315075624	-1994.5179988191717	1979.7566142913274
RDC	0.033	-71.58242017054297	-1995.317727740674	1984.3560716127558
RDC	0.034	-57.498195125663784	-1880.0802821015152	1903.6013944478784
RDC	0.035	58.619855308999774	-2008.2273204436797	1908.189262781882
RDC	0.036000000000000004	77.92310189818951	-1873.0867500969516	1866.5911804774582
RDC	0.037	85.18061089789597	-1812.468367071845	1728.8460747035874
RDC	0.038	89.88030733715786	-1673.430586855153	1792.9858018580508
RDC	0.039	90.53604976488778	-1646.4758814300799	1619.477441027498
RDC	0.04	90.54478385574873	-1368.4290907912534	1502.5995531896492
RDC	0.041	89.77948685563928	-1323.5909547399706	1379.0286535562623
RDC	0.042	87.62982477849357	-1207.3234102878018	1321.2967202586083
RDC	0.043000000000000003	84.51505864613017	-1110.6631435121058	1175.1377380444683
RDC	0.044	80.97347402116783	-936.9628123397375	1060.1760331795222
RDC	0.045	78.31962551753867	-831.5254053113223	936.5182582367254
RDC	0.046	74.9140960420782	-707.893222995475	840.7358358623592
RDC	0.047	71.74874315050923	-610.045231354749	717.7533048674595
RDC	0.048	68.39389333941104	-506.44780386082044	647.467559506246
RDC	0.049	65.1796777208948	-427.0479035507786	583.3633538900722
RDC	0.05	62.14531757900606	-347.6828679911493	479.37071628304034
RDC	0.051000000000000004	59.100520171041516	-275.98980419143646	434.6562019018019
RDC	0.052000000000000005	56.28525558126593	-218.69159039564795	378.44420401221305
RDC	0.053	53.46119824620315	-146.9800335024808	337.7435846542917
RDC	0.054	51.49205432159037	-47.56224879803077	295.27254186155983
RDC	0.055	49.23531990569022	27.36646908491918	260.08191995078545
RDC	0.056	47.053702257390334	27.634589583273033	227.20521672650395
RDC	0.057	45.00422264343886	27.181154919693352	196.91036499595583
RDC	0.058	43.164706960107694	26.979034952173652	176.86216747707473
RDC	0.059000000000000004	41.640005854359956	26.53156200427533	155.71537681072877
RDC	0.06	40.17070737073471	26.20927379347398	143.6174610098253
RDC	0.061	38.754834622087955	25.694735733654262	129.82306676071823
RDC	0.062	37.55708158824457	25.31646797443007	113.59701037685466
RDC	0.063	36.468346968129154	24.873501049945915	105.07918877039769
RDC	0.064	35.40159826270639	24.44618049932799	96.75468268067293
RDC	0.065	34.401955141232335	23.934900323384277	88.75494091232817
RDC	0.066	33.57753463359184	23.64908197788125	81.93144603887069
RDC	0.067	32.79586761055552	23.29827393969717	76.29155277904177
RDC	0.068	32.08373883049104	22.87477417144452	71.69916723537737
RDC	0.069	31.392133100239164	22.55468217109563	65.51968069149672
RDC	0.07	30.77288820450223	22.18732382296638	62.2018267922756
RDC	0.07100000000000001	30.323518021794946	21.797323543127977	58.79064688985475
RDC	0.07200000000000001	29.78920962305651	21.580458120850153	55.861769629449086
RDC	0.073	29.284931084990152	21.212286001454935	53.60050197837088
RDC	0.074	28.901962608793845	21.006510595989436	50.853916677264635
RDC	0.075	28.491578943249937	20.693547196017708	49.54344262685921
Upper GI	1e-9	-108.0333671850325	-218.69367438081474	-61.41099660755315
Upper GI	0.001	-120.36680036467932	-273.3730092862008	-64.97533425524122
Upper GI	0.002	-135.29779592207447	-358.17218207711574	-68.80961508550953
Upper GI	0.003	-154.96305919874317	-553.8193412569968	-73.43647466062387
Upper GI	0.004	-180.40679589878522	-952.733358743818	-74.83354928105231
Upper GI	0.005	-208.9155618849495	-1811.2034485976544	750.6555417483326
Upper GI	0.006	-237.5418665279882	-3049.0894338688645	2426.2445964011804
Upper GI	0.007	-255.63906015482857	-4336.8131160716475	4001.0643505341777
Upper GI	0.008	-243.61738939595776	-4933.5984300388855	5215.076665075146
Upper GI	0.009000000000000001	-199.21775419839602	-5470.428851212123	5437.097726196684
Upper GI	0.01	208.31073428870803	-5093.236646691712	5612.1734094943195
Upper GI	0.011	252.2882349273832	-4669.483988202642	4697.960653550048
