pathway	thr	estimate	lower	upper	estimate_none	lower_none	upper_none	estimate_delta	lower_delta	upper_delta	p_useful	estimate_trade_off_negative	lower_trade_off_negative	upper_trade_off_negative
Overall	0.03	0.18005433864157602	0.04231462850415589	0.3067652194159232	-1.2507634686556282	-1.4788807371389256	-1.0345698659757518	0.18005433864157602	0.04231462850415589	0.3067652194159232	0.99404	5.460933210453255	3.1865878939321717	20.125324698872838
Overall	0.031	0.20487807769584945	0.07220877545893586	0.32767752328972155	-1.1781581954731886	-1.3989168423925082	-0.968938579976534	0.20487807769584945	0.07220877545893586	0.32767752328972155	0.99816	4.828476040933863	3.0329846298614607	13.384473781683788
Overall	0.032	0.2283005418599384	0.1003334699548134	0.3459270005494292	-1.1100907518646514	-1.3239506910677425	-0.9074092493522673	0.2283005418599384	0.1003334699548134	0.3459270005494292	0.9996	4.343271248959884	2.8879676914776566	9.906737603804634
Overall	0.033	0.24968382569061817	0.125251203333202	0.3647259051578179	-1.0461486078687527	-1.2535279428535684	-0.8496089690688652	0.24968382569061817	0.125251203333202	0.3647259051578179	0.99992	3.9802073289010456	2.7416285499407453	7.97673666262219
Overall	0.034	0.2698288043434284	0.14960528544264193	0.38138261588213535	-0.9859677664608483	-1.1872477092402283	-0.795208705272722	0.2698288043434284	0.14960528544264193	0.38138261588213535	0.99996	3.685889294104876	2.6218798227008677	6.679188189942362
Overall	0.035	0.2887924722514519	0.1727824442656849	0.39664374671224406	-0.9292258302762525	-1.1247549175476503	-0.7439170279792157	0.2887924722514519	0.1727824442656849	0.39664374671224406	1	3.444068381089129	2.5211540793073692	5.787625035032267
Overall	0.036000000000000004	0.30737752042082633	0.19357428970467863	0.41280371365167995	-0.8756362238796899	-1.0657339476157706	-0.6954748883131265	0.30737752042082633	0.19357428970467863	0.41280371365167995	1	3.2385738989096056	2.4224588273038195	5.165975307914293
Overall	0.037	0.32395829730094666	0.21226785667757467	0.4253629567807382	-0.8249433529640229	-1.0099033003829125	-0.6496512426830422	0.32395829730094666	0.21226785667757467	0.4253629567807382	1	3.0707976937552734	2.3509334430533526	4.711028865804909
Overall	0.038	0.3405984504941976	0.23270847939922157	0.44015710378567624	-0.7769185278860221	-0.9570111082675724	-0.6062393678755934	0.3405984504941976	0.23270847939922157	0.44015710378567624	1	2.9216428111104564	2.2719160758748207	4.297222011820575
Overall	0.039	0.3555504051614943	0.25035269889047435	0.4521005483784469	-0.731356514350483	-0.9068313362607114	-0.5650537430582705	0.3555504051614943	0.25035269889047435	0.4521005483784469	1	2.8003911953780403	2.2118973392007355	3.9943647679133125
Overall	0.04	0.3703762699567303	0.2678821752412141	0.4664227522394735	-0.6880726014917211	-0.8591605528541939	-0.5259273994818139	0.3703762699567303	0.2678821752412141	0.4664227522394735	1	2.68913007222406	2.143977743804976	3.7329844702130495
Overall	0.041	0.38437257133478187	0.2829528222003413	0.4769806575723099	-0.6469000990163131	-0.8138151735162864	-0.4887096580310377	0.38437257133478187	0.2829528222003413	0.4769806575723099	1	2.5923091921266623	2.0965210730045576	3.534158070212373
Overall	0.042	0.3973244418877964	0.2989339550849591	0.4881344239996564	-0.6076881918968771	-0.770629097956375	-0.4532641899826797	0.3973244418877964	0.2989339550849591	0.4881344239996564	1	2.507337797807102	2.048616018122478	3.3452205179370123
Overall	0.043000000000000003	0.4104526898555717	0.3144273822771895	0.4985226396431223	-0.5703000944109032	-0.7294516770736686	-0.41946734835517574	0.4104526898555717	0.3144273822771895	0.4985226396431223	1	2.427604709560058	2.005926954000334	3.180384586209705
Overall	0.044	0.42201319097354173	0.3279909242619392	0.5084756525456959	-0.5346114559015646	-0.6901459571401761	-0.38720672680164897	0.42201319097354173	0.3279909242619392	0.5084756525456959	1	2.3619761167906477	1.9666625039293049	3.048864851226483
Overall	0.045	0.4337027301273652	0.3420063472686032	0.5177600294845641	-0.500508979103752	-0.6525871580926168	-0.3563799106505012	0.4337027301273652	0.3420063472686032	0.5177600294845641	1	2.2990085130937206	1.931396676181078	2.9239223425200436
Overall	0.046	0.444479572396102	0.35474009607569884	0.5266867092840788	-0.4678892186884532	-0.6166613503079947	-0.3268933908537513	0.444479572396102	0.35474009607569884	0.5266867092840788	1	2.2428605255115395	1.8986619229151191	2.8189652398133185
Overall	0.047	0.45548724999818035	0.36884770523346133	0.5366644750840204	-0.43665753318444345	-0.5822643003014415	-0.2986616165802671	0.45548724999818035	0.36884770523346133	0.5366644750840204	1	2.189111899147079	1.8633616470811443	2.711146052559571
Overall	0.048	0.4652696450792578	0.38019870267728884	0.5445524183510505	-0.4067271679097675	-0.5493004607118281	-0.2716061662348449	0.4652696450792578	0.38019870267728884	0.5445524183510505	1	2.1443777673704716	1.8363705059759758	2.6302036093641945
Overall	0.049	0.47526871909128726	0.39087069498381205	0.5523794266491476	-0.3780184501973233	-0.5176820839626072	-0.24565501998515404	0.47526871909128726	0.39087069498381205	0.5523794266491476	1	2.0992438213118736	1.8103498279688677	2.5583908255074683
Overall	0.05	0.48481033641247906	0.4022336317501538	0.5606971439967008	-0.3504580811933766	-0.4873284422833549	-0.22074191958545086	0.48481033641247906	0.4022336317501538	0.5606971439967008	1	2.0586678227040016	1.7834940140346573	2.486117323659623
Overall	0.051000000000000004	0.49329658632247514	0.412150904433787	0.5673246081163824	-0.32397851097389874	-0.4581651394934852	-0.19680580351514804	0.49329658632247514	0.412150904433787	0.5673246081163824	1	2.0227821459573763	1.76265930597034	2.4262957798018525
Overall	0.052000000000000005	0.5021718218071198	0.4234567196809949	0.5751958215288885	-0.2985173857628623	-0.4301235021955337	-0.17379030729370298	0.5021718218071198	0.4234567196809949	0.5751958215288885	1	1.9877377392341535	1.7385383595997146	2.36151642786323
Overall	0.053	0.5103103745015641	0.4317239885374666	0.5823281050846044	-0.2740170577296009	-0.4031400398899577	-0.15164332036363332	0.5103103745015641	0.4317239885374666	0.5823281050846044	1	1.9551678039382088	1.7172449539503418	2.316294731256687
Overall	0.054	0.5179951990856891	0.4413246775014973	0.5885747088381938	-0.2504241492531268	-0.3771559650771807	-0.13031659220875103	0.5179951990856891	0.4413246775014973	0.5885747088381938	1	1.926403365352675	1.6990196571396754	2.265905468194915
Overall	0.055	0.5260476002974479	0.45101211969553	0.594810531743706	-0.22768916472125156	-0.3521167657121409	-0.10976538144131916	0.5260471955858876	0.45101211969553	0.5948056852651407	1	1.8976897565481419	1.6812213211376863	2.217235316687276
Overall	0.056	0.5332049864589254	0.45902194532803803	0.6006611321533387	-0.20576614392265793	-0.32797182346728143	-0.08994814248700986	0.533203052958323	0.45902194532803803	0.6006557969813057	1	1.8717297123478285	1.6648469972780762	2.1785450787004423
Overall	0.057	0.5402725625703662	0.4675621930523166	0.6077748611053876	-0.18461235192401462	-0.30467407217838155	-0.07082624525039562	0.5402653236382824	0.4675621930523166	0.6077352537053905	1	1.847987450523195	1.64545333499204	2.1387529089268704
Overall	0.058	0.5471926899278509	0.4757141388809667	0.6124920793342598	-0.164188001028773	-0.28217969162358186	-0.052363723780561144	0.54716915306265	0.4757141388809667	0.612384765491292	1	1.8239789200361378	1.632960283063487	2.1021027509552375
Overall	0.059000000000000004	0.5538775175184483	0.4845536731184739	0.6181879796115904	-0.14445600101133615	-0.2604478324435211	-0.034527050496144907	0.5538043683559497	0.4845536731184739	0.6177470511446639	1	1.8027759000794679	1.618785550086484	2.0637548648509845
Overall	0.06	0.5604155631211437	0.49109023729419055	0.6240626600372001	-0.12538173432781402	-0.2394403685694625	-0.01728493298787588	0.5602190913585144	0.49109023729419055	0.6227277398112796	1	1.7819011819904262	1.6058382115824672	2.036285643774766
Overall	0.061	0.5665523622035435	0.4983591713531653	0.628846414064005	-0.10693285343719418	-0.21912167400275012	-6.081308077468012e-4	0.5660790209656282	0.4983591713531653	0.626493701502467	1	1.7627068213433974	1.5961852411322381	2.006584924053259
Overall	0.062	0.5725799001907863	0.5059061088087283	0.6335980947135765	-0.08907909773659424	-0.19945842119625423	0.015530710011732991	0.571548542906974	0.5059061088087283	0.6296033734256479	1	1.7454999944407437	1.5883015280202264	1.9766513644265296
Overall	0.063	0.5787096285097825	0.5122929511303896	0.6388723876377469	-0.0717921279312515	-0.18041939863758355	0.031157206678213395	0.5766223267850559	0.5121209986187735	0.6321988508883817	1	1.7301135132344954	1.5817807934876247	1.9526635359766917
Overall	0.064	0.5842882531081655	0.5198359980780975	0.6438232288661356	-0.05504537593232555	-0.16197534553387116	0.04629537532386638	0.5803967230096714	0.5192699417839921	0.6342673367431153	1	1.7190653974227401	1.576622257071278	1.9257806384876486
Overall	0.065	0.5897913865869039	0.5262271791611122	0.6480715593786995	-0.038813908610289924	-0.1440988017564271	0.06096775416503755	0.5830583143709231	0.5243185485354213	0.6350097877272204	1	1.7117188204523064	1.5747788763706796	1.907237504375386
Overall	0.066	0.5950142895676022	0.5325230649323439	0.6526471317778421	-0.02307430393437634	-0.12676397142678408	0.0751955154655674	0.5841239663534351	0.5267410818905953	0.6355699555548379	1	1.7091410890626917	1.573390924572437	1.8984659339934387
Overall	0.067	0.6002013973906108	0.5389713591187314	0.656752078982859	-0.007804538204012615	-0.10994659871892183	0.0889985674735439	0.5836861807606558	0.5267932464874104	0.6345827628060935	1	1.7103896151858016	1.575838580266916	1.8982779423857812
Overall	0.068	0.6052585179859589	0.5442866850243412	0.6606180555594051	0.007016116769576006	-0.09362385462011397	0.10239564736363908	0.5815875166416089	0.5223654075636572	0.6340748424468664	1	1.7161882571838323	1.577100892604189	1.9143687264259546
Overall	0.069	0.6100953208142835	0.5505910316135049	0.6649405607188282	0.02140718754103123	-0.07777423353866311	0.11540440609749916	0.5778107871730531	0.5160895874622072	0.6318278834327532	1	1.7265485695778064	1.5827095103417625	1.9376480834266865
Overall	0.07	0.6145629458376956	0.5555833552540008	0.6687316360621783	0.035387084861873856	-0.0623774587738249	0.12804148601039217	0.5724052402889517	0.5084056069989049	0.6285406018244295	1	1.7422328235943592	1.5909871169776313	1.9669334606745963
Overall	0.07100000000000001	0.6193927220397383	0.5612727173744675	0.6727450128531006	0.04897318225818537	-0.04741439597419366	0.14032259184123166	0.5664180054116426	0.5005657472998295	0.6263146912162801	1	1.7616232722146155	1.5966414552055737	1.9977395684676191
Overall	0.07200000000000001	0.6238058842920194	0.5666881710252916	0.67681381138348	0.06218188806015517	-0.032866973807885315	0.15226255584343687	0.5593773072609401	0.492816683103717	0.6218860990424588	1	1.7857381864596347	1.6080115016886913	2.029152084922018
Overall	0.073	0.62807413754328	0.5716991900622331	0.67974608858367	0.07502871151138561	-0.018718111152983084	0.16387539754421143	0.5518510390905214	0.48523644663663124	0.6162424277837162	1	1.8113060668600687	1.622737992251073	2.0608509664728896
Overall	0.074	0.6322656160490173	0.5768807184997615	0.6833385586039734	0.08752832351798857	-0.004951650191456169	0.17517437865847893	0.5441313706286058	0.47824754945912323	0.609972286069829	1	1.8384028918989717	1.639418745472503	2.0909673267153837
Overall	0.075	0.6363085928648158	0.5814713450925169	0.687288795454792	0.09969461253774872	0.008447705144429893	0.18617205360969918	0.5363230091705529	0.471302103030792	0.6034149032245804	1	1.8659277349958128	1.6572345075607977	2.1217813236913634
Gynaecology	1e-9	-18992433.337359965	-26632976.008520287	-12623687.121824482	-37307039.9449036	-47643795.732154965	-28284960.407773763	-18992433.337359965	-26632976.008520287	-12623687.121824482	0	-5.3248100642429155e-8	-7.921615851013804e-8	-3.754743742074496e-8
Gynaecology	0.001	-18.013939398067468	-25.628162559968274	-11.666818342012641	-36.3070409449036	-46.64379673215497	-27.284961407773768	-18.013939398067468	-25.628162559968274	-11.666818342012641	0	-0.05627915499867346	-0.08571317137933925	-0.039019574566644274
Gynaecology	0.002	-8.526229517155885	-12.342224265533119	-5.354498790574605	-17.6535204724518	-22.821898366077487	-13.142480703886884	-8.526229517155885	-12.342224265533119	-5.354498790574605	0	-0.11899485349707822	-0.1867588433542314	-0.08102267293919947
Gynaecology	0.003	-5.368606584203829	-7.880012012929644	-3.2606704771326966	-11.435680314967867	-14.881265577384989	-8.42832046925792	-5.368606584203829	-7.880012012929644	-3.2606704771326966	0	-0.18874478955992469	-0.30668539140391354	-0.12690335986146564
Gynaecology	0.004	-3.7858136966871787	-5.6884810270588595	-2.2042011414054743	-8.3267602362259	-10.910949183038744	-6.071240351943443	-3.7858136966871787	-5.6884810270588595	-2.2042011414054743	0	-0.2680706487293189	-0.45367910470505984	-0.17579385345997414
Gynaecology	0.005	-2.834167281590483	-4.3539434225729625	-1.570746993336336	-6.46140818898072	-8.528759346430995	-4.656992281554753	-2.834167281590483	-4.3539434225729625	-1.570746993336336	0	-0.3580245801677283	-0.6366397671450603	-0.22967684767747615
Gynaecology	0.006	-2.199195856606312	-3.46222461327048	-1.1466255793029798	-5.217840157483933	-6.940632788692494	-3.714160234628961	-2.199195856606312	-3.46222461327048	-1.1466255793029798	0	-0.46326068821425614	-0.8721242732181315	-0.2888316362170939
Gynaecology	0.007	-1.7487929050291209	-2.82635138258834	-0.8481244755209381	-4.329577277843372	-5.806256676022139	-3.040708772539109	-1.7487929050291209	-2.82635138258834	-0.8481244755209381	0	-0.5818534343659651	-1.1790722104883387	-0.35381304896577387
Gynaecology	0.008	-1.409206378880954	-2.359951562773178	-0.6149520652713809	-3.6633801181129497	-4.955474591519372	-2.535620175971721	-1.409206378880954	-2.359951562773178	-0.6149520652713809	4e-5	-0.7242260147345239	-1.625860550265645	-0.423704540510525
Gynaecology	0.009000000000000001	-1.146513524506976	-1.9935676262926296	-0.4473361349694579	-3.145226771655955	-4.2937551924616635	-2.14277348975264	-1.146513524506976	-1.9935676262926296	-0.4473361349694579	2.8e-4	-0.8914780209632297	-2.229115448355648	-0.5011828885343289
Gynaecology	0.01	-0.9374186204963484	-1.6867702417034625	-0.30296055494961255	-2.73070409449036	-3.7643796732154975	-1.8284961407773763	-0.9374186204963484	-1.6867702417034625	-0.30296055494961255	7.4e-4	-1.090404030034392	-3.256313399481804	-0.5906726822645267
Gynaecology	0.011	-0.7599923110706337	-1.457819748797873	-0.18231463523334435	-2.391549176809418	-3.3312542483777245	-1.571360127979433	-0.7599923110706337	-1.457819748797873	-0.18231463523334435	0.00304	-1.348665100856406	-5.136302978987148	-0.6759339401215402
Gynaecology	0.012	-0.6180495524818882	-1.2444180049334832	-0.09303075131797116	-2.1089200787419666	-2.970316394346247	-1.3570801173144802	-0.6180495524818882	-1.2444180049334832	-0.09303075131797116	0.00852	-1.6522849514177715	-8.205157846714568	-0.7626085182787519
Gynaecology	0.013000000000000001	-0.4958843109825472	-1.0788696874478139	-0.00958208643064096	-1.8697723803772	-2.6649074409349978	-1.1757662621364435	-0.4958843109825472	-1.0788696874478139	-0.00958208643064096	0.0224	-2.016183671816888	-14.425956146648293	-0.7252320441673293
Gynaecology	0.014	-0.39297123127914646	-0.9393459565864244	0.06028816702098199	-1.6647886389216857	-2.40312833801107	-1.0203543862695545	-0.39297123127914646	-0.9393459565864244	0.06028816702098199	0.04714	-2.463179037226748	-23.417792278338503	14.278305726486009
Gynaecology	0.015	-0.3013379765692313	-0.8077254205100334	0.12000771154220054	-1.4871360629935735	-2.1762531154769986	-0.8856640938515844	-0.3013379765692313	-0.8077254205100334	0.12000771154220054	0.09222	-2.9242815625398526	-37.8998445685585	29.93850180924683
Gynaecology	0.016	-0.22328473645525476	-0.6994748245181484	0.17067358636332944	-1.3316900590564749	-1.9777372957596862	-0.7678100879858603	-0.22328473645525476	-0.6994748245181484	0.17067358636332944	0.15654	-3.3327232285000052	-51.45447302776453	46.408252489864616
Gynaecology	0.017	-0.15239140826130876	-0.5954700921416907	0.21683187804860404	-1.194531820288447	-1.8025762783620574	-0.6638212592808095	-0.15239140826130876	-0.5954700921416907	0.21683187804860404	0.24388	-3.5486492963748324	-66.75609828550468	67.33532553019458
Gynaecology	0.018000000000000002	-0.09081249618564334	-0.5136863301090603	0.26093081561596726	-1.0726133858279776	-1.6468775962308315	-0.57138674487632	-0.09081249618564334	-0.5136863301090603	0.26093081561596726	0.34218	-3.4626028534692703	-80.94461169683137	78.9342576926268
Gynaecology	0.019	-0.03502263645604434	-0.4367356486855187	0.29739159206799487	-0.9635284707844001	-1.5075682490607882	-0.48868217935651403	-0.0350234638744729	-0.4367356486855187	0.29739159206799487	0.45058	-2.739460911029422	-83.37263991589003	86.15403675347818
Gynaecology	0.02	0.013934652103809148	-0.366422935992704	0.32772669692981293	-0.86535204724518	-1.3821898366077487	-0.4142480703886882	0.013932866056302012	-0.366422935992704	0.32772669692981293	0.5574	3.6109546039935303	-84.38366374799557	88.55014570757065
Gynaecology	0.021	0.05945576306213122	-0.303111900778514	0.3581042067731396	-0.7765257592811236	-1.2687522253407126	-0.3469029241797028	0.059451878041738085	-0.303111900778514	0.3581042067731396	0.65856	4.383846036155347	-78.90988369113106	82.68695791688049
Gynaecology	0.022	0.1006545258493328	-0.24025055115465271	0.3882090148843007	-0.695774588404709	-1.1656271241888623	-0.2856800639897165	0.10064578478690027	-0.24025055115465271	0.3881715596812697	0.74588	4.628161483840817	-70.54856552359422	74.63926155872029
Gynaecology	0.023	0.13919191487536123	-0.19446637637431968	0.4127638232899232	-0.6220452584740696	-1.071469423137173	-0.2297809307727724	0.13916806614643468	-0.19446637637431968	0.4124702716821989	0.82104	4.580842825153311	-55.13709756803892	62.339569674309374
Gynaecology	0.024	0.17290497248461767	-0.1418389054977484	0.4364575880786147	-0.5544600393709832	-0.9851581971731238	-0.17854005865724012	0.1728415874985535	-0.1418389054977484	0.43607190782711186	0.87488	4.393202684061318	-43.52041940466074	51.453123879338165
Gynaecology	0.025	0.2051889121249277	-0.09820139547605736	0.45940664118103486	-0.492281637796144	-0.9057518692861988	-0.13139845631095057	0.20504064248402726	-0.09820139547605736	0.4581509452133828	0.91808	4.105812406560329	-31.203926107606215	40.850168755650884
Gynaecology	0.026000000000000002	0.2343370513736274	-0.05467080776153317	0.4775134712849498	-0.4348861901885999	-0.832453720467499	-0.08788313106822167	0.23401855230969745	-0.05467080776153317	0.4754839834762505	0.94728	3.8286269879091774	-21.093010339239182	31.86385672690801
Gynaecology	0.027	0.26073590670899754	-0.0226368112149223	0.4962989009064096	-0.38174225721865185	-0.764585064153888	-0.047591163250880295	0.2600968371933842	-0.0226368112149223	0.49002294031475907	0.9666	3.571714724354915	-10.482508752223412	23.962497952483453
Gynaecology	0.028	0.286437355519836	0.015871186555791544	0.5130447575370297	-0.33239431946084286	-0.7015641690055348	-0.010177193134777286	0.2852427556406841	0.015871186555791544	0.5043210852695929	0.98004	3.3247371549748106	1.7954268010283487	17.88985898974427
Gynaecology	0.029	0.3094989448687192	0.04736886841759068	0.5267793644610466	-0.2864496877552964	-0.6428895424881023	0.024656503180215086	0.30736834930858153	0.04736886841759068	0.5140215026299287	0.98742	3.1138186895125686	1.8577977823703764	13.372700413727921
Gynaecology	0.03	0.3312130913377825	0.07703898489710412	0.541313315954711	-0.24356803149678674	-0.5881265577384992	0.05716795307420777	0.3275652971274086	0.07703898489710412	0.5244757142567397	0.99296	2.946951953597111	1.870710931263775	10.651333090192763
Gynaecology	0.031	0.35153881300795126	0.10662085747854204	0.5558167420470146	-0.20345293370656772	-0.5368966687791926	0.08758189007181406	0.3455195798395286	0.10662085747854204	0.5316466073689078	0.99602	2.8038231534211375	1.8620691979841526	8.52734671234021
Gynaecology	0.032	0.3702800753663838	0.1327099599157355	0.5672604801265293	-0.1658450295282375	-0.48886864787984285	0.11609495600706986	0.36080132132253856	0.1327099599157355	0.536576727835084	0.99808	2.6990760288304427	1.8546938823377308	7.298734554699744
Gynaecology	0.033	0.3894310696707543	0.15755618317625697	0.5808107167970711	-0.13051639226980596	-0.44375141612590807	0.14287995734018902	0.37514553741802187	0.15755618317625697	0.5418074523210656	0.99874	2.6004545868356503	1.8402414305769192	6.244662734132865
